title,genres,overview,vote_average,release_date,popularity,keywords,backdrop_path,homepage
One Piece: Giant Mecha Soldier of Karakuri Castle,Drama,Amber Heard and Nicole Kidman discuss their characters Mera and Atlanna.,6.1,06-06-2012,24.366,"sea, surfer, surfboard, wave, world cup, giant wave, penguin, world champion, mockumentary, anthropomorphism, animal, mystical world, anthropomorphic animal",/zgx6bBaVLAsFO5ip7gwndOjhE7U.jpg,
Stonehearst Asylum,"Animation, Family","On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",7.012,01-10-2002,24.36,"schizophrenia, road trip, ex-cop, aftercreditsstinger, duringcreditsstinger",/kHxnvrXaWDiOsvjR7o6qYu15p7H.jpg,
Aquaman: Heroines of Atlantis,"Animation, Adventure, Action, Comedy, Science Fiction, Fantasy","King, a trafficked lion cub, escapes from the airport and takes refuge with Inès and Alex, who then have the crazy idea of getting him back to Africa. Anything can happen when Max their kooky grandfather, decides to join the adventure.",7,04-03-2006,24.354,"martial arts, police, gangster, fighter, investigation, observer, partner, revenge, youth gang, hong kong, alcoholic, action hero, good versus evil",/sS9nyPEJX5mNrbOUwkxnCShWOSZ.jpg,
Tokyo Godfathers,"Thriller, Mystery, Horror","Join Barbie in a colourful, modern-day fairytale filled with fashion, friends and fun! Barbie and her dog Sequin jet off to visit her Aunt's amazing fashion house in Paris, and much to her surprise it's about to be shut down forever. After she discovers three enchanting Flairies with sparkle-magic powers, Barbie comes up with a brilliant idea to save the business. She even inspires Alice, a shy fashion designer, and together they create a dazzling runway fashion show. Barbie shows that magic happens when you believe in yourself.",6.847,23-10-2014,24.354,"airport, chase, gas station, spy, garage, pilot, secret agent, rope, exploding building, boy genius, duringcreditsstinger, unassuming, lighthearted, cliché",/7t4OgKvzqfvDcB2nA6oPyEHWd2G.jpg,http://www.stonehearstasylum.com
King,Documentary,"A young surfer enters his first contest, hoping a win will earn him respect. But an encounter with a laid-back local forces him to rethink his values.",6.059,26-03-2019,24.35,"musical, evil stepmother, woman director, fairy godmother, human becoming an animal, happy ending, cinderella, jukebox musical, cinderella story, romantic fantasy",,
Barbie: A Fashion Fairytale,"Animation, Drama, Comedy","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",7.891,29-12-2003,24.348,"italy, letter, romantic comedy, romance, american abroad, boyfriend girlfriend relationship, italian stereotype, verona italy, quest",/e4S1jhTMXJRjhG1S8doUW81DH2i.jpg,https://www.sonypictures.com/movies/tokyogodfathers
Surf's Up,"Adventure, Comedy, Family","Sent into a drunken tailspin when his entire unit is killed by a gang of thrill-seeking punks, disgraced Hong Kong police inspector Wing needs help from his new rookie partner, with a troubled past of his own, to climb out of the bottle and track down the gang and its ruthless leader.",6.5,16-02-2022,24.336,"suicide, husband wife relationship, based on novel or book, pregnancy, prison cell, penitentiary, prison guard, flashback, jail, eta terrorist group, walkie talkie, prison riot, surveillance camera, wrist slitting, gagged, violence",/ykl4EIbQIddiBYTrq5hghgDL9Ky.jpg,
"Me, Myself & Irene","Family, Animation","A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",7.181,14-09-2010,24.323,anime,/wWWXd27yF8sK9bLgAD4zxiGcYJW.jpg,http://www.barbie.com/fashion-fairytale/
New Police Story,"Animation, Comedy, Family","Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",6.386,08-06-2007,24.306,"witch, epic, mission, based on novel or book, kingdom, arabian, village, cave, horse, defence, scandinavia, viking, bagdad, deception, sword fight, historical fiction, barbarian, fictional war, demon, combat, cavalry, medieval, dark fantasy, norse mythology, warrior, sword and sorcery, 10th century",/3O2xGKo172vfbX4dm4eyamYa6Yh.jpg,https://www.sonypictures.com/movies/surfsup
Knight and Day,Comedy,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.",6.587,22-06-2000,24.3,"based on novel or book, dystopia, post-apocalyptic future, paternity, abandoned house, survival, on the road, duringcreditsstinger, starvation, bomb shelter, father son relationship, cannibalism",/8qLen3NLCVSu1I9aqGWbTUIoBLQ.jpg,
Cinderella,"Action, Thriller, Crime, Drama","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",7.144,23-09-2004,24.299,"friendship, based on novel or book, vampire, narration, danger of life, royal family, superhuman, guardian, super power, supernatural creature, based on young adult novel",/hbPNqH59r8cTSbm9I4EMzFs1Pk.jpg,
Letters to Juliet,"Action, Comedy","Lupin III competes with the Kisugi sisters to steal a triptych of paintings that once belonged to their father, and which hold the key to a long-unsolved mystery.",6.195,15-06-2010,24.293,"bookshop, businessman, anonymous letter, romantic comedy, falling in love, manhattan, new york city, class conflict, online dating, woman director, christmas, online relationship, internet romance, parfumerie",/grHeT4GGDmVcreyuS0D53DlFD5p.jpg,
Cell 211,"Fantasy, Romance, Comedy","A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",6.432,03-09-2021,24.283,"london, england, poetry, rivalry, sword fight, knight, tournament, duel, torture, writer, impostor, church, game, jousting, medieval, aftercreditsstinger",/3EmwUuGBp44hTzZGJqpzyiAmAVT.jpg,https://www.amazon.com/dp/B097YYZ87F
Lupin The 3rd vs. Cat’s Eye,"Comedy, Drama, Romance","A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",6.973,13-05-2010,24.282,"princess, mermaid, based on toy",/2dCkaxVGvXnPfQC07cweMAT2n3F.jpg,http://www.letterstojuliet-movie.com/
