title,genres,overview,vote_average,release_date,popularity,keywords,poster_path,homepage
The Hitman's Bodyguard,"Action, Comedy","The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",6.891,2017-08-16,28.214,"assassin, court, england, hitman, bodyguard, travel, on the run, criminal, killer, courtroom, opposites attract, buddy comedy, testify",/5CGjlz2vyBhW5xHW4eNOZIdgzYq.jpg,http://thehitmansbodyguard.movie
Never Back Down 2: The Beatdown,"Drama, Action",Four fighters from different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in their midst.,6.467,2011-09-13,28.213,"sports, kiss, fistfight, cage, cage fighting, kickboxer, martial arts tournament, beefcake, martial arts training",/ywdD73k13XGho13MSUzQIDxD4iA.jpg,
A Christmas Carol,"Animation, Family, Fantasy","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",6.855,2009-11-04,28.203,"london, england, based on novel or book, holiday, greed, victorian england, money, ghost, lesson, christmas music, moneylender, christmas, 19th century, scrooge, christmas eve",/t41VHjYItCYHBh2hijsTID44cNv.jpg,http://movies.disney.com/a-christmas-carol
Secretary,"Comedy, Drama, Romance","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",6.791,2002-09-20,28.194,"suicide, clerk, fetish, sadomasochism, secretary, lawyer, hospital, typewriter, kinky, cutting, pantyhose, bdsm, workplace romance",/mdRXSE7ho185SZlXj0JSwuecEd3.jpg,
Blood and Bone,"Action, Drama, Thriller","In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",7.34,2009-02-07,28.159,"fight, tournament, kick, prison fight",/4XoqjwKhqN3GlGt0fQtcY2OhkZq.jpg,http://www.bloodandbonemovie.com
Muppets Haunted Mansion,"Comedy, Family, TV Movie",Gonzo is challenged to spend one night in The Haunted Mansion on Halloween night.,6.453,2021-10-08,28.155,"halloween, musical, puppet, puppetry, halloween night, holiday special, based on theme park ride",/yTQbZCxZ4amGZKC9ETjTr7ZAH7L.jpg,https://www.disneyplus.com/movies/muppets-haunted-mansion/5F6XYZYVhMms
The Dreamers,"Drama, Romance","When Isabelle and Theo invite Matthew to stay with them, what begins as a casual friendship ripens into a sensual voyage of discovery and desire in which nothing is off limits and everything is possible.",7.206,2003-09-01,28.149,"hotel, first time, paris, france, love triangle, students' movement, sexuality, bathing, flat, riot, crush, american, twins, incest, polyamory",/gBb7GGaFYPu7nEUYvC8G4LaJJN1.jpg,
Swiss Army Man,"Comedy, Drama, Romance, Fantasy, Adventure","Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",6.9,2016-06-24,28.144,"beach, friends, survival, dead body, corpse, deserted island, buddy comedy, fart",/8pxn8CQ6SD6tly75lrKw08wfZKv.jpg,http://swissarmyman.com/
"Ready, Jet, Go! Space Camp: The Movie","Animation, Family, Science Fiction, Adventure","Jet and his friends Sean, Sydney and Mindy attend a space camp, where they put their skills to the test. Along the way, Sunspot develops an allergic reaction that causes him to shrink. Team Propulsion must leave the camp and find the cure, ""Dehshrinkulum,"" without Mitchell discovering just what they're doing.",7.7,2023-07-20,28.13,,/6pIc1dsggdiVlyZnBXygnIlVmHF.jpg,
3 Idiots,"Drama, Comedy","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",7.984,2009-12-23,28.111,"suicide, suicide attempt, college, slapstick comedy, coming of age, friends, engineering, subjective camera",/66A9MqXOyVFCssoloscw79z8Tew.jpg,
In the Mood for Love,"Drama, Romance",Two neighbors become intimate after discovering that their spouses are having an affair with one another.,8.1,2000-09-29,28.104,"adultery, newspaper, secret love, martial arts, lovesickness, husband wife relationship, shanghai, china, marriage crisis, married couple, singapore, deceived husband, forbidden love, neighbor, author, hong kong, extramarital affair, 1960s",/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,
There's Something About Mary,"Romance, Comedy","For Ted, prom night went about as bad as it’s possible for any night to go. Thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.",6.585,1998-07-15,28.083,"surgeon, romantic comedy, stalker, dream girl, taboo, screwball comedy, frisbee, troubadour, intellectual disability",/g03pwohXHOI75InM3zraiaEGguO.jpg,http://www.aboutmary.com/
Mezzo Forte,"Animation, Action, Thriller","The target of hitgirl Mikura is a wealthy baseball team owner, but he turns out to be a powerful underworld boss. Mikura and her team are beset by countless heavily armed bodyguards and the boss' vicious daughter.",6.4,2000-05-25,28.076,"rape, killing, baseball, murder, teenage girl, cruelty, brutality, evil, heroine, adult animation, dark past, hentai, anime",/f8VfbivexOy6ZUZTrqZsHz2vRPU.jpg,
Night at the Museum: Kahmunrah Rises Again,"Animation, Comedy, Family, Fantasy","Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.",6.655,2022-12-09,28.075,"magic, museum, mummy, sequel, school",/rEy4VFXn3fukXRhx8TnSZtOnlcm.jpg,
Overcomer,Drama,"After reluctantly agreeing to coach cross-country, high school basketball Coach John Harrison helps the least likely runner attempt the impossible in the biggest race of the year.",7.635,2019-08-22,28.069,"sports, christianity, cross country",/rVR3uN1yPRqYBBtNFSrEKCpRhaK.jpg,https://www.overcomermovie.com
Anger Management,Comedy,"After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.",6.139,2003-04-11,28.06,"penalty, therapist, psychology, aggression, rage, anger, brooklyn, new york city, anger management, anger issues",/ezitJY9RTk3ReXc1nWhXjmU9cz0.jpg,
Partysaurus Rex,"Family, Animation, Comedy","When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends.",7.185,2012-09-14,28.055,"tyrannosaurus rex, bath tub, bubble, rubber duck, house music, short film",/iukkUikRxktNzaK89PyQ1ioPVdm.jpg,
King Richard,"Drama, History","The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",7.717,2021-11-18,28.039,"tennis, tennis player, father, based on true story, wimbledon, family, tennis pro, father daughter relationship, coaching, champions, sport",/vjpMd1dsEsVBoUhq6iVHXwwFj9n.jpg,https://www.kingrichardfilm.net
Nocebo,"Mystery, Thriller, Horror","A fashion designer hires a nanny from the Philippines to assist her in caring for her family while she is suffering from what she believes is a tick-related illness. The nanny uses traditional Filipino folk healing techniques to help her, but in the process of doing so, she uncovers a horrifying truth about why she is there and why her employer is actually sick.",6.144,2022-11-03,28.038,,/3FPnDTlX0LsaU4VD5mc82BMbchA.jpg,
Dredd,"Action, Science Fiction","In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",6.817,2012-09-07,28.024,"metropolis, corruption, police, judge, gangster, crime fighter, dystopia, post-apocalyptic future, executive case, based on comic, futuristic, survival, criminal, justice, drug lord, based on graphic novel, female villain",/wLx65gtGVnUFCxceHWGszcruCZj.jpg,http://dreddthemovie.com/
Silver Linings Playbook,"Drama, Comedy, Romance","After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",7.13,2012-11-16,28.014,"depression, infidelity, dancing, friendship, philadelphia, pennsylvania, based on novel or book, widow, letter, neighbor, mental illness, ex-wife, institutionalization, death of husband, bipolar, restraining order, father son relationship, male mental health",/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,http://silverliningsplaybookmovie.com/
Never Back Down,"Drama, Action","Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a prime opponent. After being trounced by Ryan in front of the entire school, Jake begins training under the firm, moral guidance of a MMA master, where he learns how to fight... and how to avoid a fight. But it becomes obvious that a rematch will be inevitable if Jake wants to stop Ryan and his bullying, once and for all.",6.746,2008-03-04,28.0,"high school, martial arts, sports, fight, underground, rebel, training, champion, revenge, nemesis, club, brawl",/8oRUTyP1QAtGDMvRpKZyuyFPG0U.jpg,http://www.neverbackdownthemovie.com/
Ashfall,"Action, Adventure, Thriller",A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,6.776,2019-12-19,27.989,"natural disaster, volcano, disaster, volcano eruption, inter-korean relations, emby",/gCZ0RHifBxZGedde7WPWSgjpyZt.jpg,
